Date,MaxT,MinT,Pcpn,Snow,Snwg
3/29/2016,64,44,0,0,0
3/30/2016,65,46,T,M,0
3/31/2016,75,46,0,0,0
4/1/2016,75,48,0,0,0
4/2/2016,84,52,0,0,0
4/3/2016,84,53,0,0,0
4/4/2016,85,54,0,0,0
4/5/2016,91,56,0,0,0
4/6/2016,95,58,0,0,0
4/7/2016,70,58,0.07,0,0
4/8/2016,61,57,0.06,0,0
4/9/2016,63,56,0.05,0,0
4/10/2016,70,51,0,0,0
4/11/2016,75,56,T,0,0
4/12/2016,75,52,0,0,0
4/13/2016,75,54,0,0,0
4/14/2016,75,54,0,0,0
4/15/2016,76,55,0,0,0
4/16/2016,88,62,0,0,0
4/17/2016,91,60,0,0,0
4/18/2016,89,54,0,0,0
4/19/2016,91,57,0,0,0
4/20/2016,88,56,0,0,0
4/21/2016,86,53,0,0,0
4/22/2016,77,55,0,0,0
4/23/2016,80,55,0,0,0
4/24/2016,76,55,0,0,0
4/25/2016,70,52,T,0,0
4/26/2016,71,49,0,0,0
4/27/2016,75,52,0,0,0
4/28/2016,73,50,0,0,0
4/29/2016,72,53,0,0,0
4/30/2016,72,54,0,0,0
5/1/2016,75,54,0,0,0
5/2/2016,85,55,0,0,0
5/3/2016,88,58,0,0,0
5/4/2016,74,56,0,0,0
5/5/2016,66,57,0,0,0
5/6/2016,68,55,0.22,0,0
5/7/2016,67,54,0.01,0,0
5/8/2016,70,53,0,0,0
5/9/2016,71,53,0,0,0
5/10/2016,75,53,0,0,0
5/11/2016,84,56,0,0,0
5/12/2016,89,56,0,0,0
5/13/2016,87,57,0,0,0
5/14/2016,77,59,0,0,0
5/15/2016,73,58,0,0,0
5/16/2016,75,57,0,0,0
5/17/2016,78,59,0,0,0
5/18/2016,81,56,0,0,0
5/19/2016,76,59,0,0,0
5/20/2016,69,56,0,0,0
5/21/2016,69,53,0,0,0
5/22/2016,75,50,0,0,0
5/23/2016,73,53,0,0,0
5/24/2016,71,56,0,0,0
5/25/2016,72,54,0,0,0
5/26/2016,76,55,0,0,0
5/27/2016,81,55,0,0,0
5/28/2016,79,58,0,0,0
5/29/2016,75,58,0,0,0
5/30/2016,78,55,0,0,0
5/31/2016,80,57,0,0,0
6/1/2016,80,60,0,0,0
6/2/2016,94,61,0,0,0
6/3/2016,101,61,0,0,0
6/4/2016,98,63,0,0,0
6/5/2016,85,60,0,0,0
6/6/2016,80,57,0,0,0
6/7/2016,82,58,0,0,0
6/8/2016,87,57,0,0,0
6/9/2016,81,60,0,0,0
6/10/2016,82,61,0,0,0
6/11/2016,65,61,T,0,0
6/12/2016,73,59,T,0,0
6/13/2016,76,57,0,0,0
6/14/2016,76,57,0,0,0
6/15/2016,75,60,0,0,0
6/16/2016,82,56,0,0,0
6/17/2016,91,59,0,0,0
6/18/2016,98,62,0,0,0
6/19/2016,109,67,0,0,0
6/20/2016,114,74,0,0,0
6/21/2016,95,71,0,0,0
6/22/2016,94,67,0,0,0
6/23/2016,89,62,0,0,0
6/24/2016,85,62,0,0,0
6/25/2016,93,62,0,0,0
6/26/2016,101,64,0,0,0
6/27/2016,100,68,0,0,0
6/28/2016,101,70,0,0,0
6/29/2016,96,68,0,0,0
6/30/2016,91,64,0,0,0
7/1/2016,85,64,0,0,0
7/2/2016,87,63,0,0,0
7/3/2016,84,61,0,0,0
7/4/2016,84,60,0,0,0
7/5/2016,84,61,0,0,0
7/6/2016,83,61,0,0,0
7/7/2016,87,61,0,0,0
7/8/2016,90,60,0,0,0
7/9/2016,91,64,0,0,0
7/10/2016,90,65,0,0,0
7/11/2016,88,63,0,0,0
7/12/2016,86,62,0,0,0
7/13/2016,94,64,0,0,0
7/14/2016,92,63,0,0,0
7/15/2016,92,63,0,0,0
7/16/2016,92,62,0,0,0
7/17/2016,88,60,0,0,0
7/18/2016,92,60,0,0,0
7/19/2016,98,64,0,0,0
7/20/2016,103,67,0,0,0
7/21/2016,104,69,0,0,0
7/22/2016,108,71,0,0,0
7/23/2016,104,74,0,0,0
7/24/2016,96,67,0,0,0
7/25/2016,102,69,0,0,0
7/26/2016,101,73,0,0,0
7/27/2016,100,72,0,0,0
7/28/2016,98,71,0,0,0
7/29/2016,98,73,0,0,0
7/30/2016,97,69,0,0,0
7/31/2016,92,68,0,0,0
8/1/2016,93,68,0,0,0
8/2/2016,92,65,0,0,0
8/3/2016,91,65,0,0,0
8/4/2016,92,65,0,0,0
8/5/2016,88,64,0,0,0
8/6/2016,88,63,0,0,0
8/7/2016,89,63,0,0,0
8/8/2016,87,63,0,0,0
8/9/2016,86,64,0,0,0
8/10/2016,88,63,0,0,0
8/11/2016,88,64,0,0,0
8/12/2016,94,64,0,0,0
8/13/2016,100,67,0,0,0
8/14/2016,105,70,0,0,0
8/15/2016,104,69,0,0,0
8/16/2016,103,64,0,0,0
8/17/2016,97,64,0,0,0
8/18/2016,94,61,0,0,0
8/19/2016,98,61,0,0,0
8/20/2016,90,62,0,0,0
8/21/2016,94,65,0,0,0
8/22/2016,92,64,0,0,0
8/23/2016,91,64,0,0,0
8/24/2016,93,66,0,0,0
8/25/2016,85,63,0,0,0
8/26/2016,82,61,0,0,0
8/27/2016,85,60,0,0,0
8/28/2016,94,63,0,0,0
8/29/2016,100,66,0,0,0
8/30/2016,101,68,0,0,0
8/31/2016,98,70,0,0,0
9/1/2016,93,65,0,0,0
9/2/2016,86,63,0,0,0
9/3/2016,81,62,0,0,0
9/4/2016,77,61,0,0,0
9/5/2016,80,61,0,0,0
9/6/2016,88,59,0,0,0
9/7/2016,84,61,0,0,0
9/8/2016,86,62,0,0,0
9/9/2016,90,62,0,0,0
9/10/2016,94,63,0,0,0
9/11/2016,89,61,0,0,0
9/12/2016,76,60,0,0,0
9/13/2016,74,58,T,0,0
9/14/2016,79,54,0,0,0
9/15/2016,83,56,0,0,0
9/16/2016,87,58,0,0,0
9/17/2016,94,58,0,0,0
9/18/2016,104,62,0,0,0
9/19/2016,100,66,T,0,0
9/20/2016,90,71,0,0,0
9/21/2016,89,67,0,0,0
9/22/2016,81,63,0,0,0
9/23/2016,88,58,0,0,0
9/24/2016,97,59,0,0,0
9/25/2016,100,63,0,0,0
9/26/2016,101,64,0,0,0
9/27/2016,97,66,0,0,0
9/28/2016,93,71,T,0,0
9/29/2016,96,68,0,0,0
9/30/2016,94,67,0,0,0
10/1/2016,88,63,0,0,0
10/2/2016,79,58,0,0,0
10/3/2016,79,57,0,0,0
10/4/2016,79,55,0,0,0
10/5/2016,80,55,0,0,0
10/6/2016,89,55,0,0,0
10/7/2016,92,59,0,0,0
10/8/2016,94,57,0,0,0
10/9/2016,95,57,0,0,0
10/10/2016,90,59,0,0,0
10/11/2016,77,58,0,0,0
10/12/2016,75,57,0,0,0
10/13/2016,82,54,0,0,0
10/14/2016,80,57,0,0,0
10/15/2016,79,60,0,0,0
10/16/2016,76,62,T,0,0
10/17/2016,75,61,0.16,0,0
10/18/2016,85,56,0,0,0
10/19/2016,90,69,0,0,0
10/20/2016,94,69,0,0,M
10/21/2016,94,59,0,0,0
10/22/2016,86,55,0,0,0
10/23/2016,85,59,T,0,0
10/24/2016,77,60,0.02,0,0
10/25/2016,82,55,0,0,0
10/26/2016,86,56,0,0,0
10/27/2016,84,61,T,0,0
10/28/2016,75,62,0.03,0,0
10/29/2016,80,58,0,0,0
10/30/2016,70,58,0.1,0,0
10/31/2016,71,52,0,0,0
11/1/2016,71,54,0,0,0
11/2/2016,83,50,0,0,0
11/3/2016,90,63,0,0,0
11/4/2016,90,56,0,0,0
11/5/2016,87,53,0,0,0
11/6/2016,79,51,0,0,0
11/7/2016,86,54,0,0,0
11/8/2016,93,57,0,0,0
11/9/2016,92,59,0,0,0
11/10/2016,90,56,0,0,0
11/11/2016,87,54,0,0,0
11/12/2016,84,56,0,0,0
11/13/2016,89,53,0,0,0
11/14/2016,91,54,0,0,0
11/15/2016,82,52,0,0,0
11/16/2016,73,50,0,0,0
11/17/2016,71,54,0,0,0
11/18/2016,76,51,0,0,0
11/19/2016,75,43,0,0,0
11/20/2016,66,49,0.55,M,0
11/21/2016,67,54,0.47,0,0
11/22/2016,71,46,0,0,0
11/23/2016,73,47,0,0,0
11/24/2016,74,52,0,0,0
11/25/2016,77,42,0,0,0
11/26/2016,62,38,0.21,M,0
11/27/2016,63,47,T,M,0
11/28/2016,63,42,0,0,0
11/29/2016,68,47,0,0,0
11/30/2016,68,40,0,0,0
12/1/2016,66,45,0,0,M
12/2/2016,61,51,0,0,0
12/3/2016,69,50,0,0,0
12/4/2016,76,43,0,0,0
12/5/2016,66,42,0,0,0
12/6/2016,64,48,0,0,0
12/7/2016,65,45,0,0,0
12/8/2016,68,43,0,0,0
12/9/2016,68,47,0,0,0
12/10/2016,67,51,0,0,0
12/11/2016,68,57,0,0,0
12/12/2016,68,53,0,0,0
12/13/2016,67,51,0,0,0
12/14/2016,73,48,0,0,0
12/15/2016,67,52,0.5,0,0
12/16/2016,62,48,0.55,M,0
12/17/2016,60,42,0,0,0
12/18/2016,62,36,0,0,0
12/19/2016,65,51,0,0,0
12/20/2016,72,48,0,0,0
12/21/2016,65,49,0.75,M,0
12/22/2016,67,50,0.13,0,0
12/23/2016,59,49,1.28,M,0
12/24/2016,56,43,0.07,M,0
12/25/2016,55,37,0,0,0
12/26/2016,58,41,0,0,0
12/27/2016,65,49,0,0,0
12/28/2016,72,47,0,0,0
12/29/2016,75,46,T,M,0
12/30/2016,63,52,0.26,0,0
12/31/2016,56,41,0.17,M,0
1/1/2017,57,41,0,0,0
1/2/2017,54,48,0,0,0
1/3/2017,57,45,0,0,0
1/4/2017,58,49,0.18,M,0
1/5/2017,62,51,0.66,0,0
1/6/2017,62,48,0,0,0
1/7/2017,63,47,0.35,M,0
1/8/2017,74,48,0,0,0
1/9/2017,62,48,0.67,M,0
1/10/2017,59,46,0.22,M,0
1/11/2017,63,52,0.28,0,0
1/12/2017,56,48,0.62,M,0
1/13/2017,62,44,T,M,0
1/14/2017,68,54,0,0,0
1/15/2017,62,47,0,0,0
1/16/2017,66,45,0,0,0
1/17/2017,68,41,0,0,0
1/18/2017,59,40,0.06,M,0
1/19/2017,61,50,0.58,0,0
1/20/2017,58,48,1.28,M,0
1/21/2017,59,40,0,0,0
1/22/2017,53,47,1.89,M,0
1/23/2017,53,41,0.09,M,0
1/24/2017,55,36,0,0,0
1/25/2017,59,35,0,0,0
1/26/2017,60,36,0,0,0
1/27/2017,61,48,0,0,0
1/28/2017,73,52,0,0,0
1/29/2017,75,59,0,0,0
1/30/2017,79,49,0,0,0
1/31/2017,74,43,0,0,0
2/1/2017,70,41,0,0,0
2/2/2017,66,49,T,M,0
2/3/2017,58,52,0.3,0,0
2/4/2017,65,50,0,0,0
2/5/2017,56,44,T,M,0
2/6/2017,58,51,0.67,0,0
2/7/2017,65,56,0.25,0,0
2/8/2017,74,58,0.06,0,0
2/9/2017,80,53,0,0,0
2/10/2017,64,54,M,0,0
2/11/2017,67,51,M,0,0
2/12/2017,72,48,0,0,0
2/13/2017,76,58,0,0,0
2/14/2017,74,54,0,0,0
2/15/2017,79,46,0,0,0
2/16/2017,71,47,0.01,M,0
2/17/2017,56,50,3.25,0,0
2/18/2017,60,49,0.1,M,0
2/19/2017,58,47,0.09,M,0
2/20/2017,58,50,0.12,0,0
2/21/2017,63,53,0.03,0,0
2/22/2017,63,44,0,0,0
2/23/2017,57,45,0,0,0
2/24/2017,64,43,0,0,0
2/25/2017,62,36,0,0,0
2/26/2017,56,45,0.12,M,0
2/27/2017,56,48,T,M,0
2/28/2017,65,45,0,0,0
3/1/2017,73,42,0,0,0
3/2/2017,80,48,0,0,0
3/3/2017,80,47,0,0,0
3/4/2017,69,46,0,0,0
3/5/2017,60,45,T,M,0
3/6/2017,65,43,0,0,0
3/7/2017,75,42,0,0,0
3/8/2017,83,49,0,0,0
3/9/2017,87,52,0,0,0
3/10/2017,83,53,0,0,0
3/11/2017,86,51,0,0,0
3/12/2017,91,52,0,0,0
3/13/2017,93,55,0,0,0
3/14/2017,90,54,0,0,0
3/15/2017,88,60,0,0,0
3/16/2017,82,55,0,0,0
3/17/2017,85,54,0,0,0
3/18/2017,80,54,0,0,0
3/19/2017,81,52,0,0,0
3/20/2017,71,55,0,0,0
3/21/2017,62,55,0.18,0,0
3/22/2017,67,52,0.06,0,0
3/23/2017,71,50,0,0,0
3/24/2017,72,48,0,0,0
3/25/2017,69,50,T,0,0
3/26/2017,69,50,0,0,0
3/27/2017,72,50,0,0,0
3/28/2017,80,56,0,0,0
3/29/2017,84,54,0,0,0
3/30/2017,75,53,0,0,0
3/31/2017,76,53,0,0,0
4/1/2017,78,47,0,0,0
4/2/2017,78,53,0,0,0
4/3/2017,71,52,0,0,0
4/4/2017,79,50,0,0,0
4/5/2017,86,55,0,0,0
4/6/2017,79,55,0,0,0
4/7/2017,74,51,0.05,0,0
4/8/2017,69,51,0.06,0,0
4/9/2017,76,49,0,0,0
4/10/2017,80,47,0,0,0
4/11/2017,77,50,0,0,0
4/12/2017,76,52,0,0,M
4/13/2017,69,52,0,0,0
4/14/2017,73,53,0,0,0
4/15/2017,81,49,0,0,0
4/16/2017,79,53,0,0,0
4/17/2017,74,53,0,0,0
4/18/2017,76,59,0,0,0
4/19/2017,80,57,0,0,0
4/20/2017,83,56,0,0,0
4/21/2017,93,59,0,0,0
4/22/2017,94,58,0,0,0
4/23/2017,82,58,0,0,0
4/24/2017,74,55,0,0,0
4/25/2017,77,59,0,0,0
4/26/2017,88,63,0,0,0
4/27/2017,80,66,0,0,0
4/28/2017,81,64,0,0,0
4/29/2017,87,62,0,0,0
4/30/2017,88,56,0,0,0
5/1/2017,89,57,0,0,0
5/2/2017,91,60,0,0,0
5/3/2017,92,60,0,0,0
5/4/2017,91,59,0,0,0
5/5/2017,77,56,0,0,0
5/6/2017,68,49,T,M,0
5/7/2017,64,48,0.05,M,0
5/8/2017,81,45,0,0,0
5/9/2017,68,54,0,0,0
5/10/2017,67,58,0,0,0
5/11/2017,78,53,0,0,0
5/12/2017,76,54,0,0,0
5/13/2017,79,57,0,0,0
5/14/2017,71,50,0,0,0
5/15/2017,65,53,T,0,0
5/16/2017,70,49,0,0,0
5/17/2017,71,53,0,0,0
5/18/2017,79,51,0,0,0
5/19/2017,92,55,0,0,0
5/20/2017,96,58,0,0,0
5/21/2017,96,62,0,0,0
5/22/2017,92,63,0,0,0
5/23/2017,93,61,0,0,0
5/24/2017,83,56,0,0,0
5/25/2017,69,56,0,0,0
5/26/2017,70,56,0,0,0
5/27/2017,75,53,0,0,0
5/28/2017,84,55,0,0,0
5/29/2017,79,55,0,0,0
5/30/2017,80,58,0,0,0
5/31/2017,73,59,0,0,0
6/1/2017,79,60,0,0,0
6/2/2017,92,58,0,0,0
6/3/2017,92,60,0,0,0
6/4/2017,88,61,0,0,0
6/5/2017,84,60,0,0,0
6/6/2017,76,61,0,0,0
6/7/2017,77,60,0,0,0
6/8/2017,79,59,0,0,0
6/9/2017,81,57,0,0,0
6/10/2017,73,60,0,0,0
6/11/2017,72,58,0,0,0
6/12/2017,77,54,0,0,0
6/13/2017,85,57,0,0,0
6/14/2017,92,60,0,0,0
6/15/2017,94,62,0,0,0
6/16/2017,97,64,0,0,0
6/17/2017,95,64,0,0,0
6/18/2017,95,66,0,0,0
6/19/2017,96,67,0,0,0
6/20/2017,100,67,0,0,0
6/21/2017,98,69,0,0,0
6/22/2017,87,63,0,0,0
6/23/2017,87,63,0,0,0
6/24/2017,89,65,T,0,0
6/25/2017,109,66,0,0,0
